,longitude,latitude,thickness
826,-73.5,87.5,4.0
827,-72.5,87.5,4.0
828,-71.5,87.5,4.0
829,-70.5,87.5,4.0
830,-69.5,87.5,4.0
831,-68.5,87.5,4.0
832,-67.5,87.5,4.0
833,-66.5,87.5,4.0
834,-65.5,87.5,4.0
835,-64.5,87.5,4.0
836,-63.5,87.5,4.0
837,-62.5,87.5,4.0
838,-61.5,87.5,4.0
839,-60.5,87.5,4.0
840,-59.5,87.5,4.0
841,-58.5,87.5,4.0
842,-57.5,87.5,4.0
843,-56.5,87.5,3.0
844,-55.5,87.5,3.0
845,-54.5,87.5,3.0
846,-53.5,87.5,3.0
847,-52.5,87.5,3.0
848,-51.5,87.5,3.0
849,-50.5,87.5,3.0
850,-49.5,87.5,3.0
851,-48.5,87.5,3.0
852,-47.5,87.5,3.0
853,-46.5,87.5,3.0
854,-45.5,87.5,3.0
855,-44.5,87.5,3.0
856,-43.5,87.5,3.0
857,-42.5,87.5,3.0
858,-41.5,87.5,3.0
859,-40.5,87.5,3.0
860,-39.5,87.5,3.0
861,-38.5,87.5,3.0
862,-37.5,87.5,3.0
863,-36.5,87.5,3.0
864,-35.5,87.5,3.0
865,-34.5,87.5,3.0
866,-33.5,87.5,3.0
867,-32.5,87.5,3.0
868,-31.5,87.5,3.0
869,-30.5,87.5,3.0
870,-29.5,87.5,3.0
871,-28.5,87.5,3.0
872,-27.5,87.5,3.0
873,-26.5,87.5,3.0
874,-25.5,87.5,3.0
875,-24.5,87.5,3.0
876,-23.5,87.5,3.0
877,-22.5,87.5,3.0
878,-21.5,87.5,3.0
879,-20.5,87.5,3.0
880,-19.5,87.5,3.0
881,-18.5,87.5,3.0
882,-17.5,87.5,3.0
883,-16.5,87.5,3.0
884,-15.5,87.5,3.0
885,-14.5,87.5,3.0
886,-13.5,87.5,3.0
887,-12.5,87.5,3.0
888,-11.5,87.5,3.0
889,-10.5,87.5,3.0
890,-9.5,87.5,3.0
891,-8.5,87.5,3.0
892,-7.5,87.5,3.0
893,-6.5,87.5,3.0
894,-5.5,87.5,3.0
895,-4.5,87.5,3.0
896,-3.5,87.5,3.0
897,-2.5,87.5,3.0
898,-1.5,87.5,3.0
899,-0.5,87.5,3.0
900,0.5,87.5,3.0
901,1.5,87.5,3.0
902,2.5,87.5,3.0
903,3.5,87.5,3.0
904,4.5,87.5,3.0
905,5.5,87.5,3.0
906,6.5,87.5,3.0
907,7.5,87.5,3.0
908,8.5,87.5,3.0
909,9.5,87.5,3.0
910,10.5,87.5,3.0
911,11.5,87.5,3.0
912,12.5,87.5,3.0
913,13.5,87.5,3.0
914,14.5,87.5,3.0
915,15.5,87.5,3.0
916,16.5,87.5,3.0
917,17.5,87.5,3.0
918,18.5,87.5,3.0
919,19.5,87.5,3.0
920,20.5,87.5,3.0
921,21.5,87.5,3.0
922,22.5,87.5,3.0
923,23.5,87.5,3.0
924,24.5,87.5,3.0
925,25.5,87.5,3.0
926,26.5,87.5,3.0
927,27.5,87.5,3.0
928,28.5,87.5,3.0
929,29.5,87.5,3.0
930,30.5,87.5,3.0
931,31.5,87.5,3.0
932,32.5,87.5,3.0
933,33.5,87.5,3.0
934,34.5,87.5,3.0
935,35.5,87.5,3.0
936,36.5,87.5,3.0
937,37.5,87.5,3.0
938,38.5,87.5,3.0
939,39.5,87.5,3.0
940,40.5,87.5,3.0
941,41.5,87.5,3.0
942,42.5,87.5,3.0
943,43.5,87.5,3.0
944,44.5,87.5,3.0
945,45.5,87.5,3.0
946,46.5,87.5,3.0
947,47.5,87.5,3.0
948,48.5,87.5,3.0
949,49.5,87.5,3.0
950,50.5,87.5,3.0
951,51.5,87.5,3.0
952,52.5,87.5,3.0
953,53.5,87.5,3.0
954,54.5,87.5,3.0
